q,titulo,lic,w,h,fuente,autor,url,pagina,idx,thumb
banana field from above,"Watling's Blue Hole (San Salvador Island, Bahamas) 2",by 2.0,1024,668,flickr,James St. John,https://live.staticflickr.com/7454/15848245423_4fef4fee0d_b.jpg,https://www.flickr.com/photos/47445767@N05/15848245423,26,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\026.jpg
banana field from above,"Watling's Well Banana Hole (San Salvador Island, Bahamas) 1",by 2.0,1024,681,flickr,James St. John,https://live.staticflickr.com/7412/16426315031_65f8640856_b.jpg,https://www.flickr.com/photos/47445767@N05/16426315031,27,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\027.jpg
banana field from above,Ray_Malawi,by-nc-sa 2.0,1024,683,flickr,World Resources,https://live.staticflickr.com/4821/45803173492_87b2d1e770_b.jpg,https://www.flickr.com/photos/26107309@N05/45803173492,28,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\028.jpg
banana trees aerial,H_15F College Hill - Looking North-East with The First Baptist Church in America,by 2.0,1024,995,flickr,CthulhuWho1 (Will Hart),https://live.staticflickr.com/3478/3822932807_6075b4d3b7_b.jpg,https://www.flickr.com/photos/41340252@N08/3822932807,29,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\029.jpg
banana trees aerial,H_15D College Hill - The First Baptist Church in America (1775) - 75 North Main ,by 2.0,1024,747,flickr,CthulhuWho1 (Will Hart),https://live.staticflickr.com/2588/3822932833_30929bb68b_b.jpg,https://www.flickr.com/photos/41340252@N08/3822932833,30,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\030.jpg
banana trees aerial,"Floodwaters, Bundaberg ... 30 Dec 2010",by-nc 2.0,1024,683,flickr,srv007,https://live.staticflickr.com/5128/5342590900_76f9311ea7_b.jpg,https://www.flickr.com/photos/92335052@N00/5342590900,31,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\031.jpg
banana trees aerial,People dressed array bright colors,cc0 1.0,3264,2176,rawpixel,,https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvdXB3azYxNjczMzk0LXdpa2ltZWRpYS1pbWFnZS1rb3dtMXdjei5qcGc.jpg,https://www.rawpixel.com/image/3294659/free-photo-image-beach-banana-tree-images-pictures-aerial-view,32,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\032.jpg
coconut plantation aerial,"SAF Base Tengah, Singapore. RNZAF 41 Sqn was located between point A and the run",by-nc-sa 2.0,1024,618,flickr,Gary Danvers,https://live.staticflickr.com/65535/49929180826_761b95e3a9_b.jpg,https://www.flickr.com/photos/63119628@N07/49929180826,37,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\037.jpg
coconut plantation aerial,starr-151005-2383-Cocos_nucifera-aerial_view_takeoff-Maui_Tropical_Plantation_LZ,by 2.0,1024,768,flickr,Starr Environmental,https://live.staticflickr.com/1717/26010211090_e57c2384f1_b.jpg,https://www.flickr.com/photos/97499887@N06/26010211090,38,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\038.jpg
oil palm plantation aerial,Drone aerial photo of oil palm plantation by river,by 2.0,1024,768,flickr,DrLianPinKoh,https://live.staticflickr.com/5348/7044645415_856b62e868_b.jpg,https://www.flickr.com/photos/34673037@N04/7044645415,41,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\041.jpg
oil palm plantation aerial,Living Planet Report 2010,by-nc-sa 2.0,1024,683,flickr,WWF Deutschland,https://live.staticflickr.com/4041/5078052492_5c3a5a331a_b.jpg,https://www.flickr.com/photos/38732656@N02/5078052492,42,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\042.jpg
palm plantation drone,Drone view of rice plantation on bali island with path to walk around and palms.,cc0 1.0,1024,767,flickr,Artem Beliaikin,https://live.staticflickr.com/4850/46229046541_acd43e5a1c_b.jpg,https://www.flickr.com/photos/157635012@N07/46229046541,43,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\043.jpg
palm plantation drone,Sunset Comes Early When the Mountains Are Tall,by-nc 2.0,1024,793,flickr,Decaseconds,https://live.staticflickr.com/65535/52568463207_abb687c858_b.jpg,https://www.flickr.com/photos/72509508@N08/52568463207,44,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\044.jpg
palm plantation drone,Drone view rice plantation bali,cc0 1.0,4048,3032,rawpixel,,https://images.rawpixel.com/editor_1024/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvZmw0NjIyOTA0NjU0MS1pbWFnZS1reWNpeWVhZy5qcGc.jpg,https://www.rawpixel.com/image/6076464/photo-image-background-public-domain-plant,45,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\045.jpg
palm plantation drone,DRONE-0499,by-nc 2.0,1024,576,flickr,unredd.photo,https://live.staticflickr.com/65535/53181469942_6f0e1e5ec9_b.jpg,https://www.flickr.com/photos/129189197@N06/53181469942,46,C:\Users\ingdi\AppData\Local\Temp\claude\C--Users-ingdi-Downloads-agronomia\0d1287a6-c6bd-482c-be07-526e6e8bb0fb\scratchpad\harvest\thumbs\046.jpg
