label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,cluster_id,is_tree,lat,lon
67,329.1684210526316,88.29473684210527,95.0,18.82961178011267,-5.722670207712542,9.49694975933112,0.8249264371847314,0.6271972020162335,0.5654761904761905,-1,True,,
68,105.41052631578947,174.89473684210526,95.0,16.877778445422216,-7.200142088942281,8.902869760906219,0.8734164089947022,0.6140538014347631,0.6643356643356644,-1,True,,
69,37.23255813953488,192.34883720930233,86.0,12.407890238894014,-5.483262743200704,7.60210623169428,0.914062534460016,0.6969954821397062,0.6615384615384615,-1,True,,
70,89.73626373626374,210.42857142857142,91.0,13.249969859000387,-6.569241943860611,5.821984764617748,0.9240960778587466,0.5614682284316239,0.5833333333333334,-1,True,,
71,407.4375,211.75,48.0,17.75424428823738,-5.381750084449824,8.01732723538009,0.743378632962001,0.9272415200223151,0.7384615384615385,-1,True,,
72,37.383720930232556,228.45348837209303,86.0,13.012884199452255,-6.111144531696269,7.9386044277540035,0.9460212094475031,0.44720373930555735,0.6515151515151515,-1,True,,
73,177.78021978021977,227.92307692307693,91.0,18.86940453141752,-5.037758091951804,8.589563463270649,0.6928079026695547,0.7749569699368835,0.48663101604278075,-1,True,,
74,4.15,229.675,80.0,15.349195895350286,-8.137272027406341,7.8431138668462435,0.7681016116887506,0.5637584581344676,0.7272727272727273,-1,True,,
75,34.60919540229885,69.51724137931035,87.0,17.719318377279848,-4.288847219250147,7.821955124764075,0.7172544007687996,0.45244897404552564,0.4142857142857143,-1,True,,
76,192.45882352941177,140.35294117647058,85.0,17.845191546440162,-6.370009373843311,8.343261670072579,0.7713201472060951,0.5026602821297637,0.5448717948717948,-1,True,,
77,195.33734939759037,192.2289156626506,83.0,18.020210564759058,-7.95809012095056,9.007826870668923,0.7878590677796079,0.6274709138119205,0.4256410256410256,-1,True,,
78,179.4578313253012,212.50602409638554,83.0,18.59430814720174,-3.839890202209624,8.52335853019668,0.7630901257532662,0.6795382772899224,0.532051282051282,-1,True,,
79,296.7682926829268,18.926829268292682,82.0,14.966502124677149,-6.384089008970459,9.261888724429062,0.8839798185023413,0.7173614344292482,0.6833333333333333,-1,True,,
