label,x_px,y_px,area_px,color_l,color_a,color_b,circularity,eccentricity,extent,vari,gli,gap_fraction,solidity,cluster_id,is_tree,lat,lon
146,222.784588441331,81.51138353765324,571.0,37.48843888022157,-31.6404726109395,16.692849785072152,0.5302651875274662,0.7216094483873011,0.5947916666666667,0.9035551754167326,0.3880278393626213,0.20665499124343256,0.7832647462277091,0,True,,
147,632.6780238500852,217.8824531516184,587.0,41.9253449931279,-36.956336179689444,20.19738253549402,0.5981098177196672,0.35036208608989927,0.5231729055258467,0.9803894088560718,0.4379063911444081,0.10051107325383302,0.8130193905817175,-1,False,,
148,100.20405405405405,536.522972972973,740.0,33.729445810525,-28.894658197536405,12.862890503505419,0.6059313287459878,0.7763621889466383,0.5409356725146199,0.9676763991246352,0.37396070165811357,0.05675675675675673,0.8418657565415245,0,True,,
149,794.0210970464135,350.457805907173,474.0,26.37071051258185,-22.54771587955999,8.514632778558624,0.6829349452119411,0.6948143876136869,0.6950146627565983,0.948492610127614,0.34352825718778596,0.10548523206751059,0.8810408921933085,0,True,,
150,250.20032573289902,439.214983713355,614.0,34.118188924892976,-30.2676821660525,15.111096068910198,0.6545912865825981,0.8069417255624223,0.655982905982906,0.9525003261403074,0.4020217506742827,0.07328990228013033,0.9096296296296297,0,True,,
151,21.075367647058822,375.6047794117647,544.0,37.79457618364235,-31.87659413338775,17.499257063796946,0.6905333329054371,0.692748464667287,0.671604938271605,0.8617194928776692,0.3959842810735983,0.14154411764705888,0.9051580698835274,0,True,,
152,567.769372693727,55.23616236162361,542.0,41.71963053967251,-33.21363796948757,16.995296626887352,0.5916810791209259,0.6637909741998747,0.6317016317016317,0.8937378040209027,0.3631839968566525,0.2749077490774908,0.8630573248407644,1,False,,
153,713.885433715221,126.52700490998363,611.0,26.361158005186045,-24.277960168038778,11.827346970507506,0.5772944145420681,0.7712876765072755,0.6159274193548387,0.8798339527874649,0.3951838941430694,0.07692307692307687,0.8450899031811895,0,True,,
154,494.8510273972603,555.1352739726027,584.0,28.69338206072407,-27.118147980515907,12.573385070992822,0.5432761457973105,0.6251787600739779,0.6102403343782654,0.9684055321020623,0.4278390111835444,0.05993150684931503,0.7978142076502732,0,True,,
155,946.9049360146253,590.526508226691,547.0,23.234239982473145,-20.05581711461821,6.254127037313815,0.5559897707225058,0.5890261429835942,0.6504161712247325,0.931969215163801,0.34289349407175557,0.11334552102376605,0.7985401459854015,-1,False,,
156,1001.121107266436,600.5363321799308,289.0,32.78295113424635,-28.631113244005395,12.478728886218633,0.7528182158741635,0.8443767379365166,0.7939560439560439,0.9833627148276795,0.39380646752238685,0.0692041522491349,0.9203821656050956,0,True,,
157,811.3645484949833,333.6421404682274,598.0,40.19395175818758,-34.999027692906104,19.94156519700615,0.573512085734787,0.7809270468556909,0.5537037037037037,0.9328240690921062,0.41915833598694274,0.11204013377926425,0.8422535211267606,0,True,,
158,193.6106442577031,376.26610644257704,714.0,25.86188550297223,-22.97641774567738,10.368847096322636,0.4951677033172151,0.8981717068447107,0.5288888888888889,0.7578620300197801,0.35379671847254707,0.08263305322128855,0.8311990686845169,0,True,,
159,882.5132743362832,466.6371681415929,226.0,35.41520590058306,-32.93516677529192,17.807506026830573,0.8006858766424275,0.8397163439866353,0.8560606060606061,0.9824274289133275,0.45453161518790025,0.013274336283185861,0.9456066945606695,-1,False,,
160,595.5530303030303,592.6022727272727,528.0,31.83049246653862,-29.340794543709453,15.505994159515984,0.5922963175671129,0.6256894667871583,0.6346153846153846,0.9562570819574775,0.4243132625847603,0.045454545454545414,0.8262910798122066,0,True,,
161,541.1814223512337,737.7242380261248,689.0,34.661426901669934,-30.18462886587656,13.97795298538897,0.5641711966297103,0.8483003057078741,0.532046332046332,0.9448063490352714,0.3958514577267132,0.10159651669085634,0.8351515151515152,0,True,,
162,739.3960396039604,753.009900990099,101.0,45.32823218213073,-39.204464982099786,21.171266727829213,0.5787781082321795,0.9703007589033827,0.9619047619047619,0.9637235910585611,0.4351546774701317,0.14851485148514854,0.9901960784313726,-1,False,,
163,28.712,45.278666666666666,750.0,30.910048516807468,-27.207763639835576,12.817062977967614,0.5692221614856833,0.8246054845058333,0.6944444444444444,0.9556819055875142,0.3857372127374013,0.03733333333333333,0.8073196986006459,0,True,,
164,852.6971608832807,233.1782334384858,634.0,40.678203117108225,-36.24020163161506,23.891476102001256,0.5576008416866819,0.5372492719525889,0.5650623885918004,0.8778261826711499,0.43946463015659093,0.05993690851735012,0.8076433121019109,-1,False,,
165,26.850877192982455,617.25,456.0,26.392739096896406,-21.99629425910071,6.864746203495803,0.6575009512202239,0.8086917142001514,0.7125,0.90950585516137,0.32333255328826216,0.07894736842105265,0.8820116054158608,0,True,,
166,586.6944444444445,744.1074074074074,540.0,26.400251331099007,-22.5664487968676,7.439219730696035,0.5213864849516858,0.7857974362663931,0.5032618825722274,0.8963138902628863,0.3408485541327132,0.0888888888888889,0.7860262008733624,0,True,,
167,1000.5797101449275,156.51207729468598,207.0,40.70739865824053,-34.967388600662304,18.263070572875527,0.6964938556184229,0.8670398064860829,0.5880681818181818,0.964301998488569,0.4209334902141405,0.17391304347826086,0.8922413793103449,0,True,,
168,314.36486486486484,416.4234234234234,222.0,40.12470960603705,-35.663183741025364,19.289388187925404,0.7247636973884629,0.44336372856853973,0.6851851851851852,0.9718037846389117,0.4395319583850938,0.10360360360360366,0.8809523809523809,-1,False,,
169,1001.6533864541833,691.589641434263,251.0,17.1984792275281,-15.025369404316121,1.6012854841661732,0.6054494298773726,0.758518723084265,0.6640211640211641,0.743401595795772,0.30209474503044115,0.0677290836653387,0.8595890410958904,0,True,,
170,228.0018587360595,705.5520446096655,538.0,30.033047081592642,-25.260724884005946,11.404666160536758,0.5914823157979832,0.7758138778756204,0.6085972850678733,0.8497780701041665,0.3465791976141664,0.12453531598513012,0.8499210110584519,0,True,,
171,827.1451612903226,235.83467741935485,248.0,40.94730044158184,-33.20067466239267,20.947980650728542,0.7012816519901692,0.8096804284624078,0.6342710997442456,0.8433541629102922,0.40160760689046116,0.2338709677419355,0.8794326241134752,0,True,,
172,503.9076600209864,152.13850996852045,953.0,37.56523451882574,-31.043597912880724,16.29246265204349,0.4711029450318288,0.8184152233873141,0.5989943431803897,0.8981734132247606,0.3941970906940612,0.1888772298006296,0.7747967479674797,0,True,,
